Band,Date,Venue
Grizzly Bear,6/23/2018,Mamby on the Beach 2018 D1
Spoon,6/23/2018,Mamby on the Beach 2018 D1
Moon Boots,6/24/2018,Mamby on the Beach 2018 D2
Snakehips,6/24/2018,Mamby on the Beach 2018 D2
Whethan,6/24/2018,Mamby on the Beach 2018 D2
DJ Tennis,6/24/2018,Mamby on the Beach 2018 D2
Dixon,6/24/2018,Mamby on the Beach 2018 D2
Mike Gordon,7/8/2018,Live on Lincoln 2018
The Flaming Lips,7/14/2018,Taste of Chicago 2018
La Butcherettes,7/14/2018,Taste of Chicago 2018
Open Mike Eagle,7/20/2018,Pitchfork Music Festival 2018 D1
Julien Baker,7/20/2018,Pitchfork Music Festival 2018 D1
Big Thief,7/20/2018,Pitchfork Music Festival 2018 D1
Mount Kimbie,7/20/2018,Pitchfork Music Festival 2018 D1
Tame Impala,7/20/2018,Pitchfork Music Festival 2018 D1
Nilüfer Yanya,7/21/2018,Pitchfork Music Festival 2018 D2
Kaitlyn Aureliya Smith,7/21/2018,Pitchfork Music Festival 2018 D2
Moses Sumney,7/21/2018,Pitchfork Music Festival 2018 D2
Raphael Saadiq,7/21/2018,Pitchfork Music Festival 2018 D2
The War on Drugs,7/21/2018,Pitchfork Music Festival 2018 D2
Fleet Foxes,7/21/2018,Pitchfork Music Festival 2018 D2
Grapetooth,7/21/2018,Lincoln Hall
Kelly Lee Owens,7/22/2018,Pitchfork Music Festival 2018 D3
Japanese Breakfast,7/22/2018,Pitchfork Music Festival 2018 D3
Alex Cameron,7/22/2018,Pitchfork Music Festival 2018 D3
Alex G,7/22/2018,Pitchfork Music Festival 2018 D3
Snail Mail,7/28/2018,Wicker Park Fest
This is the Kit,7/30/2018,Millenium Park YPO BYOB
CHVRCHES,8/2/2018,Lollapalooza 2018 D1
Rezz,8/2/2018,Lollapalooza 2018 D1
Camila Cabelo,8/2/2018,Lollapalooza 2018 D1
Arctic Monkeys,8/2/2018,Lollapalooza 2018 D1
Tycho,8/2/2018,Lollapalooza 2018 D1
Clairo,8/3/2018,Lollapalooza 2018 D2
Post Animal,8/3/2018,Lollapalooza 2018 D2
Parquet Courts,8/3/2018,Lollapalooza 2018 D2
Valentino Khan,8/3/2018,Lollapalooza 2018 D2
Tyler The Creator,8/3/2018,Lollapalooza 2018 D2
Post Malone,8/3/2018,Lollapalooza 2018 D2
The National,8/3/2018,Lollapalooza 2018 D2
Bruno Mars,8/3/2018,Lollapalooza 2018 D2
Carly Rae Jepsen,8/4/2018,Lollapalooza 2018 D3
St. Vincent,8/4/2018,Lollapalooza 2018 D3
Vampire Weekend,8/4/2018,Lollapalooza 2018 D3
Superorganism,8/5/2018,Lollapalooza 2018 D4
Rex Orange County,8/5/2018,Lollapalooza 2018 D4
The Vaccines,8/5/2018,Lollapalooza 2018 D4
Manchester Orchestra,8/5/2018,Lollapalooza 2018 D4
Cigarettes After Sex,8/5/2018,Lollapalooza 2018 D4
Jack White,8/5/2018,Lollapalooza 2018 D4
Okay Kaya,8/21/2018,Lincoln Hall
Amen Dunes,8/21/2018,Lincoln Hall
Tauk,9/1/2018,North Coast Music Festival 2018
Teklife,9/1/2018,North Coast Music Festival 2018
Knower,9/1/2018,North Coast Music Festival 2018
The Polish Ambassador,9/1/2018,North Coast Music Festival 2018
Vulfpeck,9/1/2018,North Coast Music Festival 2018
Cashmere Cat,9/1/2018,North Coast Music Festival 2018
Lillie Mae,9/22/2018,312 Block Party
The Hold Steady,9/22/2018,312 Block Party
