Band,Date,Venue
The Main Squeeze,9/5/2015,North Coast 2015 D2
The Roots,9/5/2015,North Coast 2015 D2
Wave Racer,9/5/2015,North Coast 2015 D2
Green Velvet,9/6/2015,North Coast 2015 D3
Ne-Hi,9/6/2015,North Coast 2015 D3
Soja,9/6/2015,North Coast 2015 D3
The Chemical Brothers,9/6/2015,North Coast 2015 D3
Tycho,9/6/2015,North Coast 2015 D3
Zebo,9/6/2015,North Coast 2015 D3
Brisco Darling,9/12/2015,Subterranean
Modern Vices,9/12/2015,Subterranean
The FeverTones,9/12/2015,Subterranean
The Hot Moms,9/12/2015,Subterranean
Yowler,10/18/2015,Empty Bottle
The Sidekicks,10/18/2015,Empty Bottle
Saintseneca,10/18/2015,Empty Bottle
Anaïs Mitchell,10/30/2015,Fourth Presbyterian Church
The Milk Carton Kids,10/30/2015,Fourth Presbyterian Church
Jason Adasiewicz,12/9/2015,Fourth Presbyterian Church
Andrew Bird,12/9/2015,Fourth Presbyterian Church
Jason Adasiewicz,12/10/2015,Fourth Presbyterian Church
Andrew Bird,12/10/2015,Fourth Presbyterian Church
MGUN,12/17/2015,Smart Bar
Nicolas Jaar,12/17/2015,Smart Bar
Porn N Chicken,12/30/2015,Reaction New Years Eve 2015 D1
Rezz,12/30/2015,Reaction New Years Eve 2015 D1
Thundercat,12/30/2015,Reaction New Years Eve 2015 D1
Jamie Jones,12/30/2015,Reaction New Years Eve 2015 D1
Bonobo,12/30/2015,Reaction New Years Eve 2015 D1
Chvrches,12/30/2015,Reaction New Years Eve 2015 D1
Deadmau5,12/30/2015,Reaction New Years Eve 2015 D1
Mija,12/31/2015,Reaction New Years Eve 2015 D2
Autograf,12/31/2015,Reaction New Years Eve 2015 D2
Purity Ring,12/31/2015,Reaction New Years Eve 2015 D2
Cashmere Cat,12/31/2015,Reaction New Years Eve 2015 D2
Get Real (Claude VonStroke and Green Velvet),12/31/2015,Reaction New Years Eve 2015 D2
Skrillex,12/31/2015,Reaction New Years Eve 2015 D2
The Rubs,1/2/2016,Cole's
Ego,1/2/2016,Cole's
Son of a Gun,1/2/2016,Cole's
Julien Baker,1/16/2016,Lincoln Hall
Palehound,1/16/2016,Lincoln Hall
Torres,1/16/2016,Lincoln Hall
Melkbelly,1/22/2016,Lincoln Hall
Lower Dens,1/22/2016,Lincoln Hall
Toro Y Moi (DJ Set),2/13/2016,Aragon Ballroom
STS9,2/13/2016,Aragon Ballroom
Dr. Dog,3/12/2016,Riviera Theater
Thirsty,4/8/2016,Primary Nightclub
CJ Milli,4/8/2016,Primary Nightclub
Sophie,4/8/2016,Primary Nightclub
Your Friend,4/9/2016,Bottom Lounge
Alex G,4/9/2016,Bottom Lounge
Porches,4/9/2016,Bottom Lounge
Zebo,4/22/2016,The MID
Bully,4/28/2016,Riviera Theater
Courtney Barnett,4/28/2016,Riviera Theater
Reggie Watts,6/5/2016,Thalia Hall
Clearance,6/18/2016,Green Music Festival
Ratboys,6/18/2016,Green Music Festival
Waxahatchee,6/18/2016,Green Music Festival
Phish,6/24/2016,Wrigley Field
Phish,6/25/2016,Wrigley Field
ImJustinBraun,7/2/2016,Evil Olive
My Boy Elroy & Duke Shin,7/2/2016,Evil Olive
Shakey Graves,7/8/2016,Taste of Chicago 2016
The Decemberists,7/8/2016,Taste of Chicago 2016
Mike Krol,7/9/2016,West Fest 2016
John Mork,7/9/2016,West Fest 2016
Natural Child,7/9/2016,West Fest 2016
Bully,7/9/2016,West Fest 2016
Mark Farina,7/9/2016,West Fest 2016
Car Seat Headrest,7/15/2016,Pitchfork Music Festival 2016 D1
Julia Holter,7/15/2016,Pitchfork Music Festival 2016 D1
Carly Rae Jepsen,7/15/2016,Pitchfork Music Festival 2016 D1
The Range,7/15/2016,Pitchfork Music Festival 2016 D1
Beach House,7/15/2016,Pitchfork Music Festival 2016 D1
Clams Casino,7/15/2016,Smart Bar
RP Boo,7/16/2016,Pitchfork Music Festival 2016 D2
Kevin Morby,7/16/2016,Pitchfork Music Festival 2016 D2
Jenny Hval,7/16/2016,Pitchfork Music Festival 2016 D2
Martin Courtney,7/16/2016,Pitchfork Music Festival 2016 D2
BJ The Chicago Kid,7/16/2016,Pitchfork Music Festival 2016 D2
Brian Wilson,7/16/2016,Pitchfork Music Festival 2016 D2
Sufjan Stevens,7/16/2016,Pitchfork Music Festival 2016 D2
Porches,7/17/2016,Pitchfork Music Festival 2016 D3
Woods,7/17/2016,Pitchfork Music Festival 2016 D3
NAO,7/17/2016,Pitchfork Music Festival 2016 D3
Jeremih,7/17/2016,Pitchfork Music Festival 2016 D3
FKA Twigs,7/17/2016,Pitchfork Music Festival 2016 D3
Monobody,7/23/2016,Wicker Park Festival 2016
Mother Nature,7/23/2016,Wicker Park Festival 2016
Jimmy Whispers,7/23/2016,Wicker Park Festival 2016
Get Up With The Get Down,7/23/2016,Wicker Park Festival 2016
Lucy Dacus,7/28/2016,Lollapalooza 2016 D1
Mr. Carmack,7/28/2016,Lollapalooza 2016 D1
Kurt Vile,7/28/2016,Lollapalooza 2016 D1
AlunaGeorge,7/28/2016,Lollapalooza 2016 D1
Cashmere Cat,7/28/2016,Lollapalooza 2016 D1
Flosstradamus,7/28/2016,Lollapalooza 2016 D1
Sofi Tukker,7/28/2016,Vic Theater
M83,7/28/2016,Vic Theater
Frank Turner & The Sleeping Souls,7/29/2016,Lollapalooza 2016 D2
Lettuce,7/29/2016,Lollapalooza 2016 D2
Future,7/29/2016,Lollapalooza 2016 D2
Radiohead,7/29/2016,Lollapalooza 2016 D2
The Strumbellas,7/30/2016,Lollapalooza 2016 D3
Chairlift,7/30/2016,Lollapalooza 2016 D3
Tory Lanez,7/30/2016,Lollapalooza 2016 D3
Nathaniel Rateliff & The Night Sweats,7/30/2016,Lollapalooza 2016 D3
Leon Bridges,7/30/2016,Lollapalooza 2016 D3
Grimes,7/30/2016,Lollapalooza 2016 D3
Red Hot Chili Peppers,7/30/2016,Lollapalooza 2016 D3
Local Natives,7/30/2016,Venue SIX10
Classixx,7/30/2016,Venue SIX10
VHS Collection,7/31/2016,Lollapalooza 2016 D4
Classixx,7/31/2016,Lollapalooza 2016 D4
Fidlar,7/31/2016,Lollapalooza 2016 D4
Louis The Child,7/31/2016,Lollapalooza 2016 D4
